customer_id,order_id,product,category,quantity,price,city,payment_method
C082,O0001,milk,dairy,1,60,chennai,upi
C029,O0002,bread,bakery,12,40,hyderabad,card
C095,O0003,apple,fruits,2,100,vizag,cash
C005,O0004,milk,dairy,2,60,vijayawada,upi
C065,O0005,apple,fruits,1,100,vizag,upi
C092,O0006,banana,fruits,12,60,vizag,cash
C029,O0007,chips,snacks,10,30,chennai,upi
C098,O0008,coffee,beverages,3,150,bangalore,cash
C036,O0009,bread,bakery,4,40,chennai,upi
C012,O0010,chips,snacks,2,30,chennai,cash
C078,O0011,eggs,dairy,13,72,hyderabad,card
C059,O0012,apple,fruits,2,100,bangalore,upi
C071,O0013,eggs,dairy,14,72,vizag,cash
C074,O0014,bread,bakery,12,40,hyderabad,upi
C085,O0015,bread,bakery,13,40,chennai,upi
C030,O0016,coffee,beverages,2,150,bangalore,cash
C059,O0017,banana,fruits,14,60,chennai,upi
C048,O0018,eggs,dairy,4,72,chennai,card
C088,O0019,banana,fruits,2,60,vizag,card
C022,O0020,apple,fruits,12,100,vijayawada,upi
C060,O0021,chips,snacks,5,30,vizag,upi
C088,O0022,eggs,dairy,14,72,hyderabad,upi
C005,O0023,coffee,beverages,6,150,bangalore,cash
C009,O0024,bread,bakery,15,40,vizag,card
C041,O0025,bread,bakery,11,40,bangalore,cash
C083,O0026,chips,snacks,3,30,chennai,upi
C032,O0027,banana,fruits,9,60,vizag,cash
C096,O0028,apple,fruits,7,100,vizag,cash
C047,O0029,bread,bakery,3,40,vizag,cash
C012,O0030,coffee,beverages,1,150,hyderabad,upi
C081,O0031,bread,bakery,13,40,bangalore,card
C009,O0032,chips,snacks,7,30,vizag,cash
C068,O0033,eggs,dairy,9,72,hyderabad,card
C093,O0034,milk,dairy,11,60,vizag,cash
C099,O0035,banana,fruits,6,60,hyderabad,cash
C056,O0036,bread,bakery,8,40,hyderabad,card
C093,O0037,eggs,dairy,9,72,vijayawada,card
C014,O0038,coffee,beverages,11,150,chennai,card
C065,O0039,apple,fruits,4,100,vijayawada,cash
C098,O0040,bread,bakery,9,40,vizag,upi
C077,O0041,eggs,dairy,8,72,hyderabad,upi
C047,O0042,coffee,beverages,13,150,chennai,upi
C008,O0043,bread,bakery,15,40,vizag,upi
C011,O0044,banana,fruits,8,60,hyderabad,card
C099,O0045,bread,bakery,3,40,bangalore,card
C022,O0046,eggs,dairy,9,72,vizag,cash
C028,O0047,apple,fruits,13,100,vijayawada,card
C040,O0048,chips,snacks,11,30,chennai,cash
C067,O0049,chips,snacks,2,30,vijayawada,upi
C009,O0050,eggs,dairy,1,72,vizag,card
C030,O0051,apple,fruits,4,100,hyderabad,upi
C091,O0052,banana,fruits,1,60,vijayawada,upi
C005,O0053,coffee,beverages,6,150,hyderabad,card
C031,O0054,eggs,dairy,11,72,bangalore,upi
C070,O0055,bread,bakery,12,40,vizag,card
C061,O0056,bread,bakery,13,40,bangalore,cash
C025,O0057,milk,dairy,2,60,bangalore,cash
C055,O0058,chips,snacks,8,30,hyderabad,card
C084,O0059,banana,fruits,2,60,hyderabad,cash
C094,O0060,eggs,dairy,13,72,hyderabad,upi
C025,O0061,bread,bakery,9,40,bangalore,upi
C055,O0062,bread,bakery,5,40,bangalore,upi
C010,O0063,chips,snacks,13,30,vizag,upi
C007,O0064,banana,fruits,9,60,hyderabad,upi
C097,O0065,coffee,beverages,4,150,vijayawada,cash
C063,O0066,chips,snacks,4,30,bangalore,upi
C022,O0067,chips,snacks,1,30,bangalore,cash
C059,O0068,eggs,dairy,7,72,vizag,card
C092,O0069,chips,snacks,3,30,vijayawada,cash
C028,O0070,milk,dairy,10,60,vizag,upi
C096,O0071,eggs,dairy,1,72,hyderabad,card
C062,O0072,apple,fruits,15,100,vizag,upi
C008,O0073,apple,fruits,2,100,vijayawada,upi
C077,O0074,milk,dairy,11,60,vijayawada,cash
C016,O0075,apple,fruits,4,100,vizag,card
C006,O0076,apple,fruits,2,100,bangalore,card
C075,O0077,apple,fruits,9,100,chennai,cash
C027,O0078,banana,fruits,12,60,chennai,upi
C034,O0079,chips,snacks,3,30,chennai,cash
C041,O0080,coffee,beverages,15,150,hyderabad,upi
C059,O0081,apple,fruits,10,100,hyderabad,upi
C069,O0082,bread,bakery,9,40,chennai,upi
C045,O0083,milk,dairy,15,60,vijayawada,cash
C037,O0084,bread,bakery,8,40,vizag,card
C039,O0085,apple,fruits,13,100,vizag,upi
C086,O0086,coffee,beverages,9,150,chennai,card
C014,O0087,bread,bakery,5,40,hyderabad,upi
C096,O0088,apple,fruits,3,100,chennai,cash
C078,O0089,bread,bakery,12,40,chennai,upi
C088,O0090,banana,fruits,14,60,chennai,card
C063,O0091,eggs,dairy,15,72,hyderabad,upi
C082,O0092,chips,snacks,14,30,chennai,upi
C001,O0093,eggs,dairy,13,72,vijayawada,card
C034,O0094,bread,bakery,12,40,bangalore,card
C091,O0095,chips,snacks,9,30,hyderabad,upi
C010,O0096,banana,fruits,15,60,vijayawada,card
C005,O0097,coffee,beverages,6,150,vizag,card
C019,O0098,chips,snacks,3,30,hyderabad,cash
C047,O0099,coffee,beverages,14,150,hyderabad,cash
C027,O0100,banana,fruits,4,60,hyderabad,cash
C100,O0101,apple,fruits,15,100,bangalore,card
C096,O0102,bread,bakery,15,40,vijayawada,upi
C023,O0103,chips,snacks,1,30,vijayawada,card
C043,O0104,coffee,beverages,15,150,bangalore,card
C095,O0105,coffee,beverages,4,150,chennai,upi
C090,O0106,milk,dairy,7,60,hyderabad,cash
C029,O0107,bread,bakery,14,40,bangalore,cash
C040,O0108,coffee,beverages,13,150,vijayawada,upi
C004,O0109,banana,fruits,4,60,bangalore,cash
C036,O0110,coffee,beverages,2,150,chennai,cash
C083,O0111,apple,fruits,7,100,vizag,cash
C004,O0112,milk,dairy,15,60,chennai,upi
C075,O0113,eggs,dairy,1,72,hyderabad,card
C056,O0114,eggs,dairy,12,72,chennai,cash
C078,O0115,apple,fruits,2,100,bangalore,card
C025,O0116,eggs,dairy,1,72,bangalore,upi
C067,O0117,coffee,beverages,9,150,vijayawada,cash
C056,O0118,milk,dairy,11,60,chennai,card
C041,O0119,banana,fruits,14,60,hyderabad,card
C039,O0120,apple,fruits,5,100,bangalore,cash
C052,O0121,banana,fruits,5,60,vizag,upi
C025,O0122,chips,snacks,11,30,bangalore,card
C096,O0123,bread,bakery,10,40,vizag,cash
C052,O0124,apple,fruits,14,100,hyderabad,cash
C037,O0125,bread,bakery,7,40,vizag,card
C084,O0126,eggs,dairy,8,72,bangalore,cash
C087,O0127,bread,bakery,9,40,bangalore,card
C022,O0128,banana,fruits,2,60,chennai,card
C085,O0129,banana,fruits,10,60,chennai,upi
C097,O0130,bread,bakery,11,40,chennai,upi
C026,O0131,bread,bakery,1,40,hyderabad,upi
C061,O0132,apple,fruits,14,100,hyderabad,cash
C054,O0133,banana,fruits,10,60,vijayawada,card
C090,O0134,chips,snacks,8,30,bangalore,upi
C019,O0135,banana,fruits,12,60,hyderabad,upi
C100,O0136,chips,snacks,4,30,vijayawada,card
C067,O0137,chips,snacks,1,30,vizag,upi
C016,O0138,chips,snacks,3,30,bangalore,card
C068,O0139,apple,fruits,10,100,chennai,cash
C079,O0140,coffee,beverages,12,150,vizag,cash
C071,O0141,chips,snacks,15,30,vijayawada,card
C061,O0142,chips,snacks,5,30,vijayawada,card
C036,O0143,coffee,beverages,13,150,vizag,cash
C081,O0144,bread,bakery,5,40,bangalore,upi
C092,O0145,eggs,dairy,4,72,chennai,cash
C041,O0146,apple,fruits,2,100,vijayawada,upi
C030,O0147,chips,snacks,12,30,vijayawada,card
C028,O0148,milk,dairy,7,60,bangalore,cash
C070,O0149,chips,snacks,7,30,hyderabad,upi
C054,O0150,chips,snacks,15,30,vizag,card
C003,O0151,coffee,beverages,15,150,vizag,cash
C062,O0152,milk,dairy,6,60,chennai,cash
C054,O0153,apple,fruits,12,100,vizag,card
C029,O0154,chips,snacks,4,30,chennai,cash
C063,O0155,milk,dairy,7,60,chennai,card
C087,O0156,coffee,beverages,7,150,vijayawada,cash
C017,O0157,apple,fruits,9,100,hyderabad,cash
C076,O0158,apple,fruits,11,100,hyderabad,upi
C083,O0159,chips,snacks,3,30,bangalore,upi
C007,O0160,eggs,dairy,7,72,chennai,upi
